sale_id,date_time,type,weight,destination,postage method,quantity,cost
1,5/01/2016 16:21,letter,0.28,Norway,Economy Letter,3,54
1,5/01/2016 16:21,parcel,9.12,Romania,Economy Parcel_By Sea,2,218.06
1,5/01/2016 16:21,parcel,10.13,Brazil,Economy Parcel_By Sea,2,318.24
2,27/02/2017 10:18,parcel,18.82,Malta,Economy Parcel_By Sea,1,196.15
2,27/02/2017 10:18,parcel,11.21,France,Express Parcel,2,367.88
2,27/02/2017 10:18,letter,0.43,Spain,Economy Letter,2,36
3,19/11/2017 12:34,letter,0.14,Brunei Darussalam,Express Letter,1,38.83
4,27/09/2016 14:19,letter,0.21,Denmark,Economy Letter,2,18
4,27/09/2016 14:19,parcel,13.12,Nigeria,Standard Parcel,2,591.98
5,7/05/2016 15:46,parcel,10.43,Spain,Express Parcel,2,367.88
5,7/05/2016 15:46,letter,0.11,Saudi Arabia,Express Letter,3,167.04
6,5/09/2016 13:37,letter,0.41,Netherlands,Express Letter,2,85.24
7,18/10/2016 12:04,letter,0.36,Nigeria,Express Letter,1,55.68
7,18/10/2016 12:04,parcel,13.65,Taiwan - Province Of China,Standard Parcel,2,306.78
7,18/10/2016 12:04,parcel,12.45,Romania,Economy Parcel_By Sea,1,159.12
8,18/09/2017 16:05,letter,0.37,Norway,Economy Letter,1,18
8,18/09/2017 16:05,letter,0.36,Lao People'S Democratic Republic,Economy Letter,3,36
8,18/09/2017 16:05,letter,0.45,Myanmar,Express Letter,3,116.49
9,10/07/2017 11:10,letter,0.15,Serbia,Express Letter,2,106.08
9,10/07/2017 11:10,letter,0.5,Sri Lanka,Express Letter,3,116.49
10,4/10/2017 12:59,parcel,17.76,United Kingdom,Standard Parcel,2,401.8
10,4/10/2017 12:59,letter,0.31,Vietnam,Economy Letter,1,12
10,4/10/2017 12:59,letter,0.29,Austria,Express Letter,1,53.04
11,8/02/2017 12:42,parcel,5.92,Germany,Economy Parcel_By Sea,2,209.66
11,8/02/2017 12:42,letter,0.25,Argentina,Express Letter,3,167.04
12,17/06/2016 12:36,letter,0.11,Kenya,Express Letter,1,55.68
12,17/06/2016 12:36,parcel,12.31,Philippines,Express Parcel,2,332.82
12,17/06/2016 12:36,letter,0.45,Solomon Islands,Express Letter,3,116.49
13,27/12/2016 09:59,parcel,7.84,French Polynesia,Standard Parcel,3,406.32
14,21/12/2016 13:21,letter,0.46,Indonesia,Economy Letter,3,36
14,21/12/2016 13:21,letter,0.21,Arab Emirates,Express Letter,2,111.36
15,14/09/2016 10:18,letter,0.17,Serbia,Express Letter,2,106.08
16,5/09/2017 12:48,parcel,3.04,Malta,Standard Parcel,2,256.16
17,22/04/2016 11:42,parcel,12.45,Qatar,Express Parcel,2,635.98
17,22/04/2016 11:42,letter,0.48,Portugal,Economy Letter,2,36
17,22/04/2016 11:42,letter,0.26,Solomon Islands,Economy Letter,1,12
18,19/01/2017 14:24,parcel,13.18,Slovenia,Express Parcel,1,302.85
18,19/01/2017 14:24,parcel,16.34,Greece,Express Parcel,3,1089.87
18,19/01/2017 14:24,letter,0.14,Korea - Republic Of,Economy Letter,2,12
19,13/04/2017 09:59,letter,0.49,Taiwan - Province Of China,Express Letter,3,110.85
20,27/06/2017 07:12,letter,0.2,Solomon Islands,Express Letter,1,38.83
20,27/06/2017 07:12,letter,0.44,Brunei Darussalam,Economy Letter,1,12
20,27/06/2017 07:12,letter,0.24,United Kingdom,Economy Letter,3,27
21,31/01/2017 13:40,parcel,11.16,Turkey,Standard Parcel,3,842.55
22,15/12/2016 12:51,letter,0.19,Vietnam,Express Letter,3,110.85
23,5/12/2016 14:36,parcel,6.62,Canada,Economy Parcel_By Sea,1,97.87
24,20/04/2016 12:00,letter,0.39,Singapore,Express Letter,2,73.9
24,20/04/2016 12:00,parcel,9.84,Greece,Economy Parcel_By Sea,3,327.09
24,20/04/2016 12:00,parcel,19.54,Kenya,Standard Parcel,1,359.45
25,22/03/2017 12:15,parcel,4.67,Tonga,Express Parcel,2,220.06
26,25/12/2017 09:36,parcel,19.79,India,Standard Parcel,2,356.2
27,6/01/2016 14:04,letter,0.16,Taiwan - Province Of China,Express Letter,1,36.95
28,12/10/2016 11:43,letter,0.34,Romania,Economy Letter,3,54
28,12/10/2016 11:43,letter,0.43,Czech Republic,Economy Letter,3,54
28,12/10/2016 11:43,letter,0.15,Japan,Economy Letter,1,6
29,18/09/2017 13:17,letter,0.18,Romania,Economy Letter,3,27
29,18/09/2017 13:17,letter,0.24,Myanmar,Economy Letter,2,12
29,18/09/2017 13:17,parcel,5.15,Ireland,Economy Parcel_By Sea,2,203.56
30,25/12/2016 13:15,letter,0.45,Romania,Express Letter,2,106.08
30,25/12/2016 13:15,letter,0.39,Vanuatu,Economy Letter,1,12
31,22/01/2016 13:01,letter,0.34,Papua New Guinea,Express Letter,3,116.49
